power,d_power,time
39,2,44,57419
35,-4,44,72884
32,-3,44,83104
38,6,44,98176
34,-4,45,09095
29,-5,45,21991
30,1,45,36669
28,-2,45,45197
32,4,45,58472
32,0,45,78587
27,-5,45,92088
27,0,46,04777
26,-1,46,28801
31,5,46,30255
19,-12,46,58973
22,3,46,58973
29,7,46,60931
29,0,47,01332
24,-5,47,01332
24,0,47,01332
20,-4,47,06618
24,4,47,17012
20,-4,47,27859
25,5,47,36122
20,-5,47,42927
27,7,47,50183
28,1,47,62929
23,-5,47,7594
22,-1,47,82674
23,1,47,89651
20,-3,47,96503
23,3,48,04181
24,1,48,17004
22,-2,48,24504
19,-3,48,3152
20,1,48,3844
20,0,48,44435
21,1,48,51549
16,-5,48,58994
21,5,48,65499
18,-3,48,78735
21,3,48,85614
18,-3,48,92407
17,-1,48,95693
19,2,49,0555
16,-3,49,1292
18,2,49,26149
23,5,49,27242
22,-1,49,3431
13,-9,49,40251
17,4,49,46848
19,2,49,53612
18,-1,49,60474
20,2,49,68468
18,-2,49,74038
19,1,49,80942
19,0,49,87807
19,0,49,90139
19,0,50,03174
17,-2,50,09277
19,2,50,16726
17,-2,50,22251
18,1,50,25652
20,2,50,35468
17,-3,50,42099
13,-4,50,48925
17,4,50,51188
14,-3,50,62519
20,6,50,64528
16,-4,50,69556
19,3,50,74194
16,-3,50,79012
17,1,50,83762
14,-3,50,88447
18,4,50,92919
17,-1,50,9891
16,-1,51,05918
19,3,51,10026
20,1,51,16237
11,-9,51,23072
21,10,0
